id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
27263971,"6mins to Akihabara sta,Cozy&Modern&New hotel roomA",Chiyoda Ku,35.70149,139.77137,個室,17830,2,66,2020-01-05,1.72,4,89,0
27458420,"6 mins to Akiba,Family&Cozy&Design New hotel roomA",Chiyoda Ku,35.70061,139.77266,個室,17263,1,58,2020-02-17,1.52,4,89,0
27472672,"6 mins to Akiba,Balcony&Cozy&Design New hotel room",Chiyoda Ku,35.70183,139.77073,個室,12152,1,68,2019-12-20,1.76,4,89,0
27694513,"6mins to Akihabara sta,Cozy&Modern&New hotel roomB",Chiyoda Ku,35.70129,139.77242,個室,10221,1,59,2020-03-04,1.59,4,89,0
28569742,上野秋叶原步行5分钟。附近大量餐厅，出行购物方便。温馨独立除菌房源，存行李，免费Wi-Fi！长期优惠,Chiyoda Ku,35.7043,139.77223,家全体/アパート,18000,1,78,2019-06-01,2.13,9,230,1
29626951,Nestle Tokyo Deluxe Akihabara 01,Chiyoda Ku,35.69629,139.78077,家全体/アパート,25136,1,32,2019-07-26,0.88,5,89,0
29628564,Nestle Tokyo Deluxe Akihabara 02,Chiyoda Ku,35.69826,139.77978,家全体/アパート,25136,1,18,2019-03-18,0.51,5,0,3
29720819,Nestle Tokyo Deluxe Akihabara 03,Chiyoda Ku,35.69633,139.78,家全体/アパート,25136,1,26,2019-10-02,0.72,5,147,0
29764630,Nestle Tokyo Deluxe Akihabara 05,Chiyoda Ku,35.69613,139.7808,家全体/アパート,25136,1,23,2019-04-02,0.65,5,12,3
29764707,Nestle Tokyo Deluxe Akihabara 04,Chiyoda Ku,35.69623,139.77918,家全体/アパート,25136,1,3,2019-11-03,0.09,5,0,0
29931217,Dormitory Room male Only(男性用ﾄﾞﾐﾄﾘｰ･禁煙),Chiyoda Ku,35.6965,139.77804,ホテル一室,1854,1,5,2021-10-03,1.65,2,270,5
29931369,【 IoTルーム】スーペリア　ダブルルーム,Chiyoda Ku,35.6984,139.77697,ホテル一室,3641,1,1,2021-08-22,0.43,2,269,1
31273338,Nestle Tokyo Deluxe Akihabara 402,Chiyoda Ku,35.69631,139.78085,個室,25136,1,37,2019-08-19,1.11,4,38,0
31694610,Lux 2BR Penthouse/Imperial Palace/7Pax/3mins Sub,Chiyoda Ku,35.69704,139.7527,家全体/アパート,20671,2,40,2021-04-03,1.21,13,178,11
31863562,神田・シェアドミトリーホステルの1ベッド。4人個室・女性専用部屋もあり。駅近。東京観光の拠点に。,Chiyoda Ku,35.69474,139.76501,共有部屋,2400,2,1,2019-10-28,0.04,11,364,0
31863820,kanda/akihabara/tokyo/Dormitory-Hostel/BunkBed/,Chiyoda Ku,35.6926,139.76431,共有部屋,2400,2,2,2019-11-25,0.08,11,364,0
32453417,Uhome Akihabara Hotel 9F,Chiyoda Ku,35.69539,139.77709,個室,900000,1,0,,0,2,150,0
32965648,New Open Mixed Dorm! Close to Ropponngi& Tokyo,Chiyoda Ku,35.68874,139.76749,共有部屋,6086,1,1,2019-04-19,0.03,3,365,0
33262307,New Open Female Dorm! Close to Ropponngi& Tokyo,Chiyoda Ku,35.68873,139.76563,共有部屋,6086,1,1,2020-02-09,0.05,3,365,0
33262359,OPENING CAMPAIGN！ Female　Dormitory in Kanda area,Chiyoda Ku,35.69024,139.76734,共有部屋,6086,1,13,2019-05-25,0.46,3,365,0
33354147,"Akihabara 3mins ,Free-WiFi,Quarantine available",Chiyoda Ku,35.6991,139.7771,個室,4271,1,14,2020-04-06,0.53,9,80,2
33405270,"Akihabara 3min walk,Quarantine available,free wifi",Chiyoda Ku,35.69904,139.77719,個室,9220,1,14,2019-11-19,0.46,9,118,1
33405625,"Akihabara 3min walk,free wifi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,5980,1,19,2020-02-10,0.63,9,119,0
33405880,"Ahihabara 3min walk,Quarantine available,free wifi",Chiyoda Ku,35.69904,139.77719,個室,37029,1,20,2020-03-01,0.7,9,119,0
33406211,"Akihabara walk 3min,free wifi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,9029,1,19,2020-02-13,0.63,9,119,0
33406515,"Akihabara 3min walk,free wifi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,5980,1,28,2020-01-31,1.08,9,116,0
33406665,"Akihabara sta 3min ,free wifi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,7709,1,3,2019-08-18,0.1,9,91,0
33406847,"Akihabara 3mins ,Free-WiFi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,3903,1,14,2019-11-22,0.47,9,117,0
33406960,"Akihabara 3mins ,Free-WiFi,Quarantine available",Chiyoda Ku,35.69907,139.77718,個室,47771,1,14,2020-03-20,0.52,9,91,0
33812078,Akihabara station 3mins ＃Near Tokyo Staフリーwifi＃,Chiyoda Ku,35.70044,139.77613,家全体/アパート,21000,3,9,2019-11-11,0.37,1,111,0
35585245,Hotel Reyado Kudan: Deluxe Room,Chiyoda Ku,35.69214,139.74494,ホテル一室,22500,1,3,2020-01-01,0.11,2,0,0
35691476,Hotel Reyado Kudan: Superior Room,Chiyoda Ku,35.69381,139.74307,ホテル一室,18429,1,2,2019-11-25,0.08,2,0,0
36017124,Semi-Double Room (Breakfast Included),Chiyoda Ku,35.69433,139.75713,個室,9230,1,1,2019-10-16,0.04,6,0,0
37667914,201上野秋葉原中心位置。温馨除菌房间，可寄存行李，附近大量餐厅购物出行方便，免费Wi-Fi！,Chiyoda Ku,35.70482,139.77239,個室,2786,1,36,2020-02-14,1.39,9,296,1
38108552,Nestle Tokyo Deluxe Akihabara 05,Chiyoda Ku,35.69696,139.78118,家全体/アパート,35571,1,2,2019-10-23,0.08,4,25,0
38109994,Nestle Tokyo Deluxe Akihabara 04,Chiyoda Ku,35.69736,139.77943,家全体/アパート,35571,1,0,,0,4,20,0
38110234,Nestle Tokyo Deluxe Akihabara 03,Chiyoda Ku,35.69803,139.77954,家全体/アパート,35571,1,1,2019-09-20,0.04,4,51,0
38110923,Nestle Tokyo Deluxe Akihabara 02,Chiyoda Ku,35.69671,139.77935,家全体/アパート,18429,1,3,2020-01-24,0.18,9,25,1
38112021,Nestle Tokyo Deluxe Akihabara 01,Chiyoda Ku,35.6975,139.77907,家全体/アパート,19143,1,0,,0,9,14,0
38313857,JR 秋葉原駅 5分 最大12人 4F,Chiyoda Ku,35.70022,139.7756,家全体/アパート,10571,1,101,2020-02-07,4.2,3,73,62
38525397,1min walk->Jimbocho Sta/Double Room/Smoking,Chiyoda Ku,35.69638,139.75529,個室,10543,1,0,,0,9,120,0
38526308,1min walk->Jimbocho Sta/Double Room/NonSmoking,Chiyoda Ku,35.69457,139.75726,個室,10543,1,1,2020-01-01,0.04,9,120,0
38526428,1min walk->Jimbocho Sta/Comfort Twin/Smoking,Chiyoda Ku,35.69617,139.75611,個室,10543,1,0,,0,9,120,0
38526532,1min walk->Jimbocho Sta/Comfort Twin/NonSmoking,Chiyoda Ku,35.69596,139.75535,個室,10543,1,0,,0,9,120,0
38526633,1min walk->Jimbocho Sta/Comfort Relax Twin/Smoking,Chiyoda Ku,35.69629,139.75564,個室,10543,1,1,2020-08-09,0.07,9,120,0
38526749,1min walk->Jimbocho Sta/Comfort Relax Twin/NoSmoke,Chiyoda Ku,35.69499,139.75746,個室,10543,1,0,,0,9,120,0
38526819,1min walk->Jimbocho Sta/Premium Twin/NonSmoking,Chiyoda Ku,35.6951,139.75552,個室,15943,1,0,,0,9,120,0
38526937,1min walk->Jimbocho Sta/Premium Zen Twin/NoSmoke,Chiyoda Ku,35.69475,139.75604,個室,15943,1,1,2020-12-27,0.1,9,120,1
38838852,"MANGA ART HOTEL,TOKYO 漫泊 【FEMALE ONLY FLOOR】1",Chiyoda Ku,35.6945,139.76567,ホテル一室,5086,1,15,2020-02-16,0.6,2,365,0
38839254,"MANGA ART HOTEL,TOKYO 漫泊 【MAN ONLY FLOOR】1",Chiyoda Ku,35.69487,139.76488,ホテル一室,4514,1,37,2020-06-10,1.53,2,365,0
39426453,櫻花苑東神田B-SAKURA  GARDEN Higashikanda Akihabara和室家庭房,Chiyoda Ku,35.69627,139.77995,家全体/アパート,13371,1,0,,0,5,87,0
39636759,櫻花苑東神田A-SAKURA GARDEN秋叶原附近 Akihabara和室家庭房-NEW OPEN,Chiyoda Ku,35.69557,139.78055,家全体/アパート,10086,1,12,2020-01-15,0.51,7,88,3
40038086,神田・秋葉原ドミトリーホステル/駅から2分/女性専用部屋もあります,Chiyoda Ku,35.69627,139.75038,共有部屋,2234,1,0,,0,1,179,0
40139226,櫻花苑東神田C-SAKURA GARDEN秋叶原附近 Akihabara和室家庭房-NEW OPEN,Chiyoda Ku,35.6954,139.78053,家全体/アパート,9143,1,1,2020-05-05,0.06,7,171,0
40236145,櫻花苑東神田D-SAKURA GARDEN秋叶原附近和室家庭房,Chiyoda Ku,35.69531,139.77915,家全体/アパート,9086,1,9,2020-03-19,0.45,7,148,5
40350369,5mins->Akihabara Sta/Economy Double+Wi-Fi,Chiyoda Ku,35.69584,139.77373,個室,4857,1,0,,0,3,85,0
40351187,5mins->Akihabara Sta/Family Suite+Wi-Fi,Chiyoda Ku,35.69584,139.77373,個室,16500,1,93,2021-02-28,10.77,3,86,93
40458504,櫻花苑東神田B-SAKURA GARDEN秋叶原附近 Akihabara和室家庭房-NEW OPEN,Chiyoda Ku,35.69569,139.77891,家全体/アパート,8657,1,4,2020-09-28,0.18,7,88,0
40602481,5mins->Akihabara Stat/Triple Room+shower+Wi-Fi,Chiyoda Ku,35.69584,139.77373,個室,6171,1,0,,0,3,87,0
40765146,秋叶原　櫻花苑   人气 日式榻榻米房,Chiyoda Ku,35.69626,139.77985,個室,9371,1,0,,0,5,268,0
41039231,Bamboo Room_東京駅から電車で5分のデザイナーズホテル✩グループ宿泊に最適✩アクセス良好✩,Chiyoda Ku,35.69394,139.78018,家全体/アパート,12600,2,7,2021-08-31,0.45,2,57,4
41115787,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟  101,Chiyoda Ku,35.69994,139.77924,個室,11000,1,0,,0,6,0,0
41163153,Uhome Akihabara apartment No.3 701,Chiyoda Ku,35.69698,139.78121,家全体/アパート,7571,1,7,2021-03-14,0.33,38,46,6
41218509,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟 201,Chiyoda Ku,35.69915,139.77913,個室,20000,1,0,,0,6,0,0
41219323,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟 301,Chiyoda Ku,35.69832,139.77923,個室,11000,1,0,,0,6,0,0
41219420,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟 302,Chiyoda Ku,35.69866,139.77924,個室,15000,1,0,,0,6,0,0
41219552,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟 401,Chiyoda Ku,35.70029,139.77968,個室,11000,1,0,,0,6,0,0
41220541,㊕20%OFF『JUO Hotel』秋叶原车站步行5分钟 402,Chiyoda Ku,35.6985,139.77981,個室,15000,1,1,2020-01-27,0.05,6,0,0
41620280,6樱花苑東神田SAKURA GARDEN Higashi-kanda,Chiyoda Ku,35.69521,139.77884,家全体/アパート,8086,1,3,2021-03-30,0.2,7,167,2
41938997,「新オープン月額14万円」石畳HOTEL 301 浅草橋・浅草・秋葉原,Chiyoda Ku,35.69632,139.78098,個室,19999,1,0,,0,13,89,0
41939820,「新オープン月額14万円」石畳HOTEL 401 浅草橋・浅草・秋葉原,Chiyoda Ku,35.69644,139.78093,個室,9999,1,0,,0,13,56,0
41940153,「新オープン月額14万円」石畳HOTEL 501 浅草橋・浅草・秋葉原,Chiyoda Ku,35.69649,139.78102,個室,7999,1,0,,0,13,29,0
42122289,Lucent Court池袋西口八分302,Chiyoda Ku,35.67749,139.745,家全体/アパート,8000,1,0,,0,3,0,0
42122321,全新公寓-池袋一室，免费WIFI设施新，交通便利，美食聚集101,Chiyoda Ku,35.67718,139.74406,家全体/アパート,5500,1,0,,0,3,57,0
42387484,Real Life KUDANSHITA chic 2-bedroom/6pax/3mins sub,Chiyoda Ku,35.69816,139.75092,家全体/アパート,17723,2,8,2020-09-23,0.56,13,147,4
42389193,Real Life KUDANSHITA Posh 1-bedroom/5pax/3mins sub,Chiyoda Ku,35.69652,139.75275,家全体/アパート,24143,2,11,2021-08-10,0.96,13,114,11
42486194,Tiger Room_東京駅から電車で5分のデザイナーズホテル✩グループ宿泊に最適✩アクセス良好✩,Chiyoda Ku,35.69394,139.78018,家全体/アパート,12600,2,7,2020-12-10,0.41,2,74,3
42542871,"AH3 Uhome Akihabara Apartment 1, 7mn from station",Chiyoda Ku,35.69616,139.78074,家全体/アパート,7571,1,6,2021-03-28,0.75,38,26,6
43201744,Oakwood Premier Tokyo/Superior Studio - Room Only,Chiyoda Ku,35.6823,139.76762,家全体/アパート,37840,1,0,,0,7,346,0
43202161,Oakwood Premier Tokyo/Deluxe Studio -Room Only,Chiyoda Ku,35.68214,139.76642,家全体/アパート,41536,1,0,,0,7,347,0
43207256,Oakwood Premier Tokyo/Executive 1BR Suite /NoMeal,Chiyoda Ku,35.68021,139.76599,家全体/アパート,71104,1,0,,0,7,346,0
43207296,Oakwood Premier Tokyo/Deluxe 2BR Suite - Room Only,Chiyoda Ku,35.68094,139.76812,家全体/アパート,102080,1,0,,0,7,271,0
43207517,Best for Family - Luxury 3Bedroom Suite,Chiyoda Ku,35.68144,139.76818,家全体/アパート,193669,1,0,,0,7,176,0
43209548,神田リトルハウス2F,Chiyoda Ku,35.69192,139.76443,個室,6900,1,12,2021-10-26,0.72,2,87,11
43256396,"Ascott Marunouchi Tokyo, Studio",Chiyoda Ku,35.68673,139.76262,家全体/アパート,39930,1,0,,0,4,86,0
43256455,"Ascott Marunouchi Tokyo, 1 Bedroom Deluxe",Chiyoda Ku,35.68673,139.76262,家全体/アパート,45980,1,0,,0,4,55,0
43256474,"Ascott Marunouchi Tokyo, 1 Bedroom Executive",Chiyoda Ku,35.68673,139.76262,家全体/アパート,58080,1,0,,0,4,47,0
43256501,"Ascott Marunouchi Tokyo, 1 Bedroom Premier",Chiyoda Ku,35.68673,139.76262,家全体/アパート,118580,1,0,,0,4,0,0
43295604,"SPATIUM·3F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.6965,139.76875,家全体/アパート,13429,1,7,2021-02-02,0.62,12,0,7
43295649,"SPATIUM·4F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69616,139.76943,家全体/アパート,12000,1,2,2020-10-18,0.16,12,0,0
43295710,"SPATIUM·5F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69831,139.768,家全体/アパート,12000,1,4,2021-03-20,0.47,12,0,3
43295774,"SPATIUM·6F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69776,139.7674,家全体/アパート,12000,1,3,2021-04-25,0.24,12,0,2
43295854,"SPATIUM·7F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69828,139.76858,家全体/アパート,12000,1,0,,0,12,0,0
43295876,"SPATIUM·8F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69623,139.76724,家全体/アパート,11714,1,3,2021-08-20,0.18,12,52,1
43295907,"SPATIUM·9F, Clean & Comfy APT,KANDA / Akihabara",Chiyoda Ku,35.69832,139.76914,家全体/アパート,13000,1,1,2020-08-08,0.07,12,0,0
43426549,1302上野秋葉原中心位置，独立温馨房源。附近大量餐厅商场，多条地铁出行方便。免费Wi-Fi寄存行李,Chiyoda Ku,35.70472,139.77299,家全体/アパート,3500,1,1,2021-06-27,0.24,9,324,1
43426556,1303上野秋葉原中间独立房源，自助入住零接触。附近大量餐厅商城多条地铁。免费Wi-Fi，寄存行李。,Chiyoda Ku,35.70291,139.7724,家全体/アパート,3500,1,2,2021-08-25,0.41,9,213,2
43426575,1305上野秋叶原独立房源，独立除菌房源。附近大量餐厅商城，多条地铁出行方便。免费Wi-Fi寄存行李,Chiyoda Ku,35.7045,139.77264,家全体/アパート,3980,1,1,2021-06-30,0.25,9,207,1
44783505,【長期宿泊割引】男女別カプセルホテル-最寄駅徒歩5分-FreeWi-Fi有り,Chiyoda Ku,35.69543,139.77829,共有部屋,3300,1,1,2021-04-24,0.16,20,0,1
45081605,[神保町駅]A1出口から徒歩1分☆デラックス　キングルーム　禁煙,Chiyoda Ku,35.69475,139.75579,個室,12343,1,0,,0,9,0,0
45290203,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 1-1a,Chiyoda Ku,35.69822,139.77957,家全体/アパート,50000,1,0,,0,50,0,0
45294591,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 1-2a,Chiyoda Ku,35.69916,139.77924,家全体/アパート,50000,1,0,,0,50,0,0
45297184,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 2-1a,Chiyoda Ku,35.69766,139.77744,家全体/アパート,50000,1,0,,0,50,0,0
45297283,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 2-2a,Chiyoda Ku,35.69951,139.77756,家全体/アパート,50000,1,0,,0,50,0,0
45297303,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 2-3a,Chiyoda Ku,35.69809,139.77762,家全体/アパート,50000,1,0,,0,50,0,0
45297334,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 3-1a,Chiyoda Ku,35.69762,139.77887,家全体/アパート,50000,1,0,,0,50,0,0
45297363,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 3-2a,Chiyoda Ku,35.6982,139.77955,家全体/アパート,50000,1,0,,0,50,0,0
45297407,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 3-3a,Chiyoda Ku,35.69797,139.77741,家全体/アパート,50000,1,0,,0,50,0,0
45297435,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 4-1a,Chiyoda Ku,35.69941,139.77931,家全体/アパート,50000,1,0,,0,50,0,0
45302777,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 4-2a,Chiyoda Ku,35.69874,139.77962,家全体/アパート,50000,1,0,,0,50,0,0
45302796,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 4-3a,Chiyoda Ku,35.69923,139.77763,家全体/アパート,50000,1,0,,0,50,0,0
45302809,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 5-1a,Chiyoda Ku,35.69955,139.77954,家全体/アパート,50000,1,0,,0,50,0,0
45302839,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 5-2a,Chiyoda Ku,35.69736,139.77889,家全体/アパート,50000,1,0,,0,50,0,0
45302846,★無料Wi-Fi★アメ横・秋葉原電気街にアクセス◎ 5-3a,Chiyoda Ku,35.69749,139.77816,家全体/アパート,50000,1,0,,0,50,0,0
45372563,New Open! Under the raiway hotel Akihabara★#A,Chiyoda Ku,35.70038,139.77453,個室,7702,1,4,2021-06-28,0.3,13,122,3
45372565,New Open! Under the raiway hotel Akihabara★#B,Chiyoda Ku,35.70074,139.77268,個室,7702,1,3,2021-08-29,0.44,13,123,3
45372567,New Open! Under Raiway Hotel Akihabara★#C,Chiyoda Ku,35.70085,139.77264,個室,7702,1,1,2020-09-28,0.08,13,123,0
45372608,New Open! Under Raiway Hotel Akihabara★#D,Chiyoda Ku,35.70211,139.77289,個室,7702,1,0,,0,13,123,0
45372619,New Open! Under Raiway Hotel Akihabara★#E,Chiyoda Ku,35.70025,139.77306,個室,10071,1,11,2020-09-22,0.91,13,111,10
45372625,New Open! Under Raiway Hotel Akihabara★#F,Chiyoda Ku,35.7022,139.7724,個室,11019,1,2,2021-06-27,0.16,13,123,1
45372633,New Open! Under Raiway Hotel Akihabara★#G,Chiyoda Ku,35.70049,139.77303,個室,12085,1,0,,0,13,123,0
45372637,New Open! Under Raiway Hotel Akihabara★#H,Chiyoda Ku,35.70177,139.77251,個室,13389,1,0,,0,13,120,0
45372641,New Open! Under Raiway Hotel Akihabara★#I,Chiyoda Ku,35.70056,139.774,個室,11256,1,23,2021-07-03,1.7,13,123,22
45372642,New Open! Under Raiway Hotel Akihabara★#J,Chiyoda Ku,35.7002,139.77403,個室,10071,1,6,2021-04-11,0.44,13,123,4
45372657,New Open! Under Raiway Hotel Akihabara★#K,Chiyoda Ku,35.70225,139.77285,個室,7702,1,0,,0,13,123,0
45372658,New Open! Under Raiway Hotel Akihabara★#L,Chiyoda Ku,35.70208,139.77283,個室,10351,1,31,2021-02-27,2.3,13,102,25
45372668,New Open! Under Raiway Hotel Akihabara★#M,Chiyoda Ku,35.7004,139.77397,個室,13389,1,6,2021-09-19,0.44,13,108,5
45979684,New/Luxury#5mins to Station#Max8ppl#Free WIFI#,Chiyoda Ku,35.70503,139.77195,家全体/アパート,5214,1,9,2021-05-10,0.74,16,47,9
46074346,Akino Hotel★double bed★warm housing,Chiyoda Ku,35.70053,139.77647,個室,8000,7,0,,0,10,0,0
46074404,秋の旅馆｜秋葉原/高级单人房/花信風@akino403,Chiyoda Ku,35.70058,139.77829,個室,5000,60,0,,0,10,0,0
46493742,MONday Apart 秋葉原/デラックス　ツインルーム（1～2名）,Chiyoda Ku,35.69814,139.77937,家全体/アパート,12143,1,6,2021-05-09,0.59,6,178,6
46493847,Grand Japanese Room (6 people room),Chiyoda Ku,35.69656,139.78267,家全体/アパート,15857,1,12,2021-09-20,1.17,7,31,12
46493856,MONdayApartAsakusabashi Station/Deluxe Double Room,Chiyoda Ku,35.69605,139.78283,家全体/アパート,15857,1,1,2021-03-26,0.14,7,0,1
46493962,MONday Apart 秋葉原/スーペリアファミリールーム（3～4名）,Chiyoda Ku,35.69843,139.77825,家全体/アパート,12500,1,6,2021-10-17,2.14,6,179,6
46494149,MONday Apart 秋葉原/ グランジャパニーズスイート　（6名）,Chiyoda Ku,35.69807,139.77946,家全体/アパート,15000,1,4,2021-10-17,0.39,6,161,4
46554538,東京駅から電車で6分！駅近！好立地ホステル　,Chiyoda Ku,35.68872,139.76536,共有部屋,1980,1,23,2021-06-19,3.67,21,88,23
46555238,東京駅から電車で6分！好立地カプセルホテル！①,Chiyoda Ku,35.69023,139.76523,共有部屋,1980,1,8,2021-04-03,0.98,21,88,8
46778222,MONday Apart 秋葉原/ デラックスツインルーム（1～4名）7泊以上,Chiyoda Ku,35.69812,139.77812,個室,11500,7,0,,0,6,180,0
46823854,10ベット部屋貸切！　東京大手町ホステル5階　L,Chiyoda Ku,35.69061,139.76583,個室,30214,2,0,,0,21,90,0
46824094,10名カプセルベット貸切部屋　東京大手町ホステル　M,Chiyoda Ku,35.68895,139.76686,個室,12000,2,0,,0,21,90,0
46824491,最大20名宿泊可能！東京大手町・好立地ホステル5階フロアまるまる貸切！,Chiyoda Ku,35.69041,139.76721,個室,21371,2,0,,0,21,90,0
46861851,MONday Apart 秋葉原/ グランジャパニーズスイート　ツインルーム（1～2名）,Chiyoda Ku,35.6963,139.78018,家全体/アパート,15000,1,1,2021-05-02,0.17,6,162,1
46864090,MONday Apart 秋葉原/ グランジャパニーズスイート　（3～5名）,Chiyoda Ku,35.69629,139.77998,家全体/アパート,15000,1,6,2021-05-05,0.59,6,167,6
46932944,東京駅から電車で6分！好立地カプセルホテル！②,Chiyoda Ku,35.68913,139.76737,共有部屋,1980,1,2,2021-10-01,0.42,21,88,2
47297517,神田リトルハウス3F,Chiyoda Ku,35.69016,139.76434,個室,6500,1,2,2021-09-15,0.2,2,180,2
47572223,千代田区岩本町　・秋葉原エリアにある女性専用ホステルです,Chiyoda Ku,35.69592,139.77896,共有部屋,2100,1,0,,0,1,365,0
47819092,【ホテル最上階のお部屋】最大5名まで利用可能！,Chiyoda Ku,35.70016,139.7783,個室,14857,1,20,2021-10-14,3.26,14,72,20
49637590,"＃201 Cozy Family Apt for max 9 ppl, Chiyoda Area",Chiyoda Ku,35.69376,139.77806,個室,13671,2,2,2021-07-25,0.43,50,180,2
49637712,＃301 Cozy KANDA STA 8MIN　Free Wi-fi　,Chiyoda Ku,35.69366,139.77842,個室,5800,2,2,2021-09-04,0.81,50,180,2
49637799,＃302 　KANDA STA　8MIN　Free Wi-fi,Chiyoda Ku,35.69236,139.77713,個室,5980,2,4,2021-09-04,4,50,180,4
49637869,"＃401 Cozy  Apt for max 4 ppl, Chiyoda Area.",Chiyoda Ku,35.69339,139.77706,個室,3500,2,0,,0,50,145,0
49637919,"＃402 Cozy  Apt for max 4 ppl, Chiyoda Area.",Chiyoda Ku,35.69356,139.77891,個室,5980,2,1,2021-06-05,0.2,50,180,1
49638039,"＃501B/C Cozy  Apt for max 4 ppl, Chiyoda Area",Chiyoda Ku,35.6932,139.77672,個室,7346,2,0,,0,50,180,0
49933809,【4名様までOK！】秋葉原のおしゃれなホテルでお得にステイ！,Chiyoda Ku,35.70038,139.77814,個室,12429,1,6,2021-09-19,1.82,14,365,6
